teacher,title,duration,votes,rating,difficulty,subscriber_only,url
Fiji McAlpine,Elevate Day 6,39m52s,19,4.9,intermediate,True,https://doyogawithme.com/content/elevate-day-6
Fiji McAlpine,Elevate Day 5,50m46s,24,4.9,intermediate,True,https://doyogawithme.com/content/elevate-day-5
Fiji McAlpine,Elevate Day 4,40m09s,28,5.0,intermediate,False,https://doyogawithme.com/content/elevate-day-4
Fiji McAlpine,Elevate Day 3,45m22s,23,4.9,intermediate,False,https://doyogawithme.com/content/elevate-day-3
Fiji McAlpine,Elevate Day 2,51m19s,41,4.8,intermediate,False,https://doyogawithme.com/content/elevate-day-2
Fiji McAlpine,Elevate Day 1,62m30s,51,4.9,intermediate,False,https://doyogawithme.com/content/elevate-day-1
Jonni-Lyn Friel,Jivamukti Yoga Spiritual Warrior,54m38s,37,4.5,intermediate,False,https://doyogawithme.com/content/spiritual-warrior
Nicky Jones,Trust Yourself,43m34s,13,4.8,beginner,True,https://doyogawithme.com/content/trust-yourself
Helen Camisa,Plus Size Yoga: A Wrist-Free Practice,32m46s,6,5.0,beginner,True,https://doyogawithme.com/content/wrist-free-practice
Crista Shillington,Handstands at the Wall,49m38s,23,4.7,intermediate,False,https://doyogawithme.com/content/handstands-wall
Fiji McAlpine,The Light Within,24m56s,60,4.9,intermediate,True,https://doyogawithme.com/content/light-within
Nicky Jones,Three Postures for Healing Grief,17m05s,6,5.0,beginner,True,https://doyogawithme.com/content/postures-healing-grief
Jonni-Lyn Friel,Japa Meditation,9m31s,7,5.0,beginner,False,https://doyogawithme.com/content/japa-meditation
Sarah Jane Steele,Baby and Me Post-Caesarean Yoga,52m10s,4,5.0,beginner,True,https://doyogawithme.com/content/mom-baby-caesarean
Sarah Jane Steele,Baby and Me Yoga for Energy and Joy,21m55s,2,5.0,beginner,False,https://doyogawithme.com/content/mom-baby-energy
Sarah Jane Steele,Modified Prenatal Vinyasa,44m08s,9,4.7,beginner,True,https://doyogawithme.com/content/modified-prenatal-vinyasa
David Procyshyn,7-Minute Office Yoga for the Head and Neck,7m31s,12,4.8,beginner,False,https://doyogawithme.com/content/office-head-neck
David Procyshyn,11-Minute Office Yoga for the Shoulders and Legs,11m11s,5,4.8,beginner,True,https://doyogawithme.com/content/office-shoulders-legs
David Procyshyn,6-Minute Office Yoga for the Spine,5m55s,6,4.5,beginner,True,https://doyogawithme.com/content/office-yoga-spine
Jonni-Lyn Friel,Jivamukti Magic Ten,11m20s,22,4.5,beginner,False,https://doyogawithme.com/content/jivamukti-magic-ten
David Procyshyn,7-Minute Office Yoga for the Hips,6m48s,4,4.5,beginner,True,https://doyogawithme.com/content/office-yoga-hips
David Procyshyn,9-Minute Office Yoga for the Legs,9m29s,5,5.0,beginner,False,https://doyogawithme.com/content/office-yoga-legs
Sarah Jane Steele,Labor and Birth: Checking in with Your Body,21m25s,3,5.0,beginner,True,https://doyogawithme.com/content/labor-birth-checking
Satiya Channer,"A Full, Gentle Daily Practice",56m04s,33,4.6,beginner,True,https://doyogawithme.com/content/full-gentle-daily-practice
David Procyshyn,6-Minute Office Yoga for the Shoulders,6m22s,10,4.9,beginner,False,https://doyogawithme.com/content/office-yoga-shoulders
David Procyshyn,6-Minute Office Yoga for Energy and Stress Relief,5m59s,3,4.7,beginner,False,https://doyogawithme.com/content/office-energy-stress
Tracey Noseworthy,The Art of Forgiveness,34m32s,45,4.7,intermediate,True,https://doyogawithme.com/content/art-forgiveness
Guy Friswell,Flowing Slowly with Your Breath,45m05s,24,5.0,beginner,False,https://doyogawithme.com/content/flowing-slowly-breath
Tianne Allan,Open Heart Hatha Yoga,55m15s,9,4.4,beginner,True,https://doyogawithme.com/content/open-heart-hatha-yoga
Tracey Noseworthy,Begin at the Beginning,65m10s,39,4.8,intermediate,True,https://doyogawithme.com/content/begin-beginning
Tracey Noseworthy,Flow and Go,27m57s,69,5.0,intermediate,False,https://doyogawithme.com/content/flow-and-go
Tracey Noseworthy,Unpack Your Work Day,18m46s,24,5.0,beginner,True,https://doyogawithme.com/content/unpack-work-day
Guy Friswell,Awaken Your Spine,28m08s,10,4.8,beginner,False,https://doyogawithme.com/content/awaken-your-spine
Crista Shillington,Yoga Fun at the Wall,62m04s,18,5.0,advanced,True,https://doyogawithme.com/content/yoga-fun-wall
Helen Camisa,Plus Size Yoga: A Gentle Seated Practice,17m43s,14,4.6,beginner,False,https://doyogawithme.com/content/gentle-seated-practice
Nyk Danu,Yin Yoga for Tight Hips,25m24s,20,4.8,beginner,False,https://doyogawithme.com/content/yin-tight-hips
Rachel Scott,A Yoga Flow for Cyclists,53m30s,17,4.8,intermediate,True,https://doyogawithme.com/content/flow-cyclists
Helen Camisa,A Beginner Strength-Building Practice,50m33s,11,4.5,beginner,False,https://doyogawithme.com/content/beginner-strength-building
Helen Camisa,A Beginner Morning Practice,36m21s,4,4.3,beginner,False,https://doyogawithme.com/content/beginner-morning-practice
Guy Friswell,Standing Room Only,15m44s,30,5.0,beginner,False,https://doyogawithme.com/content/standing-room-only
Crista Shillington,Gentle Floor Sequence,7m03s,24,4.8,intermediate,False,https://doyogawithme.com/content/gentle-floor-sequence
Helen Camisa,A Beginner Restful Practice,23m37s,8,3.6,beginner,False,https://doyogawithme.com/content/beginner-restful-practice
Helen Camisa,A Beginner Warrior I Practice,72m54s,17,3.3,beginner,False,https://doyogawithme.com/content/beginner-warrior-i
Helen Camisa,A Beginner Floor Practice,52m52s,7,3.9,beginner,False,https://doyogawithme.com/content/beginner-floor-practice
Helen Camisa,Absolute Beginner Series: Finding Your Savasana,15m44s,3,3.7,beginner,False,https://doyogawithme.com/content/absolute-beginner-savasana
Helen Camisa,Absolute Beginner Series: Reclined Poses,20m24s,8,4.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-reclined
Helen Camisa,Absolute Beginner Series: From Sitting to Standing,13m18s,6,4.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-sitting-standing
Helen Camisa,Absolute Beginner Series: The Basics,9m31s,4,4.0,beginner,False,https://doyogawithme.com/content/beginner-series-basics
Helen Camisa,A Beginner Warrior II Practice,54m28s,11,3.5,beginner,False,https://doyogawithme.com/content/warrior-ii-practice
Helen Camisa,Absolute Beginner Series: Warrior II,14m00s,5,4.2,beginner,False,https://doyogawithme.com/content/beginner-warrior-ii
Rachel Scott,Sun Salutation B: Tutorial,6m58s,9,4.7,intermediate,False,https://doyogawithme.com/content/sun-salutation-b
Nyk Danu,Yin Yoga for Beginners,60m36s,17,4.4,beginner,False,https://doyogawithme.com/content/yin-yoga-beginners
Rachel Scott,Yin Yoga for Cyclists II,25m44s,15,4.7,beginner,False,https://doyogawithme.com/content/yin-cyclists-ii
Helen Camisa,Absolute Beginner Series: Warrior I,12m35s,1,5.0,beginner,False,https://doyogawithme.com/content/beginner-series-warrior-i
Rachel Scott,15-Minute Pick-Me-Up,17m43s,23,5.0,beginner,True,https://doyogawithme.com/content/15-minutes-pick-me
Rachel Scott,Yin Yoga for Cyclists I,24m43s,17,4.9,beginner,True,https://doyogawithme.com/content/yin-yoga-cyclists-i
Crista Shillington,Crazy Eights,76m24s,13,4.7,advanced,True,https://doyogawithme.com/content/crazy-eights
Helen Camisa,Absolute Beginner Series: Salute the Sun,9m46s,5,4.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-salute-sun
Helen Camisa,Absolute Beginner Series: Finding Your Feet,14m13s,1,5.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-finding-your-feet
Rachel Scott,Prepare for Arm Balances,51m13s,12,4.8,intermediate,True,https://doyogawithme.com/content/prepare-arm-balances
Rachel Scott,Quick and Juicy Shoulder and Hip Opening,31m54s,61,5.0,beginner,False,https://doyogawithme.com/content/quick-and-juicy-shoulder-and-hip-opening
Rachel Scott,Light Up Your Core with Power Twists,32m45s,30,4.9,beginner,False,https://doyogawithme.com/content/light-your-core-power-twists
Rachel Scott,30 Minutes of Power,31m36s,44,4.8,beginner,False,https://doyogawithme.com/content/30-minutes-power
Rachel Scott,Pour Some Sugar On Me,39m00s,40,4.7,beginner,True,https://doyogawithme.com/content/pour-some-sugar-me
Helen Camisa,Absolute Beginner Series: Finding Your Comfortable Seat,9m41s,9,5.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-finding-your-comfortable-seat
Helen Camisa,Absolute Beginner Series: Meditation for Body Connection,8m24s,6,5.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-meditation-body-connection
Fiji McAlpine,Flow Into Feeling,55m38s,56,4.9,intermediate,True,https://doyogawithme.com/content/flow-feeling
Crista Shillington,Dontcha Love Hip Openers?,63m32s,46,4.8,intermediate,False,https://doyogawithme.com/content/dontcha-love-hip-openers
Fiji McAlpine,Dig Deeper - Full Class,70m06s,30,4.6,intermediate,True,https://doyogawithme.com/content/dig-deeper-full-class
Fiji McAlpine,Yoga to Build Resilience - Full Class,37m23s,47,4.8,intermediate,True,https://doyogawithme.com/content/yoga-build-resilience-full-class
Crista Shillington,I Heart Backbends - Full Class,70m58s,13,5.0,advanced,True,https://doyogawithme.com/content/i-heart-backbends-full-class
Crista Shillington,The Real Deal Pigeon,72m21s,19,5.0,intermediate,True,https://doyogawithme.com/content/real-deal-pigeon-0
Tianne Allan,Deep Hip Opening,70m35s,27,4.0,beginner,False,https://doyogawithme.com/content/deep-hip-opening
Melissa Krieger,Vinyasa Yoga: Focus On Twists,39m12s,221,4.7,intermediate,True,https://doyogawithme.com/content/vinyasa-yoga-focus-twists
Tracey Noseworthy,Learn to Let Go,22m24s,204,4.8,intermediate,True,https://doyogawithme.com/content/learn-let-go
Fiji McAlpine,Rhythm and Routine,24m22s,333,4.8,intermediate,False,https://doyogawithme.com/content/rhythm-and-routine
David Procyshyn,Maintain Alignment in Lying Poses,16m10s,123,4.7,beginner,True,https://doyogawithme.com/content/maintain-alignment-lying-poses
Fiji McAlpine,Embrace Your Edge,22m42s,242,4.7,intermediate,True,https://doyogawithme.com/content/embrace-your-edge
Fiji McAlpine,Yoga to Build Resilience - Shorter Class,31m35s,342,4.8,intermediate,True,https://doyogawithme.com/content/yoga-build-resilience
Tracey Noseworthy,Release Your Inner Hippie,23m23s,162,4.9,intermediate,False,https://doyogawithme.com/content/release-your-inner-hippie
Fiji McAlpine,Dig Deeper - Shorter Class,56m28s,141,4.9,intermediate,False,https://doyogawithme.com/content/dig-deeper
Tracey Noseworthy,Seize the Moment,61m19s,159,4.9,intermediate,True,https://doyogawithme.com/content/seize-moment
Crista Shillington,I Heart Backbends - Shorter Class,59m09s,98,4.9,advanced,False,https://doyogawithme.com/content/i-heart-backbends
Tracey Noseworthy,"Build Energy, Open Your Body",17m10s,215,4.8,intermediate,True,https://doyogawithme.com/content/build-energy-open-your-body
David Procyshyn,How to Improve Mobility Safely,20m24s,30,4.7,beginner,True,https://doyogawithme.com/content/how-improve-mobility-safely
David Procyshyn,"How to Sit, Move and Stretch Safely",21m06s,48,4.8,beginner,True,https://doyogawithme.com/content/how-sit-move-and-stretch-safely
David Procyshyn,Maintain Alignment in Standing Poses,29m59s,134,4.8,beginner,True,https://doyogawithme.com/content/maintain-alignment-standing-poses
David Procyshyn,Maintain Alignment in a Hatha Flow Class,27m14s,111,4.9,beginner,True,https://doyogawithme.com/content/maintain-alignment-hatha-flow-class
David Procyshyn,Maintain Alignment in Seated Poses,43m11s,145,4.8,beginner,False,https://doyogawithme.com/content/maintain-alignment-seated-poses
David Procyshyn,How to Strengthen Your Joints Safely,18m45s,32,4.7,beginner,True,https://doyogawithme.com/content/how-strengthen-your-joints-safely
David Procyshyn,"Yoga for Arthritis: Wrists, Ankles and Feet",12m12s,12,4.9,beginner,False,https://doyogawithme.com/content/yoga-arthritis-wrists-ankles-and-feet
David Procyshyn,Get Started with Yoga,19m12s,49,4.5,beginner,False,https://doyogawithme.com/content/get-started-yoga
Tracey Noseworthy,Push Your Boundaries Safely,19m39s,215,4.8,intermediate,True,https://doyogawithme.com/content/push-your-boundaries-safely
Melissa Krieger,Gentle Yoga for Reducing Stress,36m53s,132,4.9,beginner,True,https://doyogawithme.com/content/gentle-yoga-reducing-stress
Fiji McAlpine,Moving Meditation II,46m56s,51,4.9,advanced,False,https://doyogawithme.com/content/moving-meditation-ii
Crista Shillington,Intro to Flow,33m05s,147,4.6,beginner,False,https://doyogawithme.com/content/intro-flow
Tracey Noseworthy,Altered Perspective,42m05s,162,4.9,intermediate,False,https://doyogawithme.com/content/altered-perspective
Rachel Scott,Standing Desk Relief,8m06s,16,4.9,beginner,False,https://doyogawithme.com/content/standing-desk-relief
Helen Camisa,Absolute Beginner Series: Know Your Props,5m10s,2,5.0,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-know-your-props
Helen Camisa,Absolute Beginner Series: From Standing to Sitting,8m13s,4,4.8,beginner,False,https://doyogawithme.com/content/absolute-beginner-series-standing-sitting
Sarah Holmes de Castro,A Full-Body Slow Beginner Flow,53m22s,81,4.6,beginner,True,https://doyogawithme.com/content/full-body-slow-beginner-flow
Rachel Scott,Energy Boosting Flow,29m24s,72,4.9,beginner,True,https://doyogawithme.com/content/energy-boosting-flow
Rachel Scott,Hatha Yoga for Better Digestion,38m17s,19,4.8,beginner,False,https://doyogawithme.com/content/hatha-yoga-better-digestion
Fiji McAlpine,Energy and Intention,41m41s,54,4.5,intermediate,True,https://doyogawithme.com/content/energy-and-intention
Rachel Scott,Yin Yoga for New Moms,34m49s,6,5.0,beginner,True,https://doyogawithme.com/content/yin-yoga-new-moms
David Procyshyn,Yoga for Bone Health: Lower Body,18m18s,34,4.8,beginner,True,https://doyogawithme.com/content/yoga-bone-health-lower-body
Tracey Noseworthy,The Power of Commitment,69m50s,202,4.8,intermediate,True,https://doyogawithme.com/content/power-commitment
David Procyshyn,Yoga for Bone Health: Upper Body,19m00s,35,4.9,beginner,True,https://doyogawithme.com/content/yoga-bone-health-upper-body
David Procyshyn,An Introduction to Yoga for Seniors,6m28s,3,5.0,beginner,False,https://doyogawithme.com/content/introduction-yoga-seniors
David Procyshyn,Office Yoga II,15m21s,7,5.0,beginner,False,https://doyogawithme.com/content/office-yoga-ii
David Procyshyn,Office Yoga I,13m58s,6,5.0,beginner,True,https://doyogawithme.com/content/office-yoga-i
Rachel Scott,Sneaky Office Chair Yoga,9m33s,7,4.6,beginner,True,https://doyogawithme.com/content/sneaky-office-chair-yoga
David Procyshyn,Mindfulness Meditation: A Guided Meditation on Impermanence,10m27s,6,4.7,beginner,False,https://doyogawithme.com/content/mindfulness-meditation-guided-meditation-impermanence
David Procyshyn,Mindfulness Meditation: A Guided Meditation on Expanding the Mind,13m33s,5,5.0,beginner,False,https://doyogawithme.com/content/mindfulness-meditation-guided-meditation-expanding-mind
David Procyshyn,Mindfulness Meditation: A Guided Meditation on Focus,13m55s,21,5.0,beginner,False,https://doyogawithme.com/content/mindfulness-meditation-guided-meditation-focus
Satiya Channer,Gentle Hatha Yoga: A Mindful Practice,39m02s,83,4.8,beginner,True,https://doyogawithme.com/content/gentle-hatha-yoga-mindful-practice
Rachel Scott,Spine All Ways,55m47s,85,4.9,beginner,True,https://doyogawithme.com/content/spine-all-ways
Tracey Noseworthy,The Art of Nine,12m26s,35,4.9,beginner,True,https://doyogawithme.com/content/art-nine
David Procyshyn,Yoga for Carpal Tunnel Syndrome: Maintenance,7m40s,19,4.7,beginner,True,https://doyogawithme.com/content/yoga-carpal-tunnel-syndrome-maintenance
Sarah Jane Steele,Prenatal Yoga for Core Strength,32m14s,7,4.6,intermediate,False,https://doyogawithme.com/content/prenatal-yoga-core-strength
Crista Shillington,Hoppity Hops,44m15s,15,4.9,intermediate,True,https://doyogawithme.com/content/hoppity-hops
Helen Camisa,Plus Size Yoga: Exploring Warrior,45m34s,11,5.0,beginner,False,https://doyogawithme.com/content/yoga-plus-size-exploring-warrior
Ron Stewart,Yoga for Self-Compassion,42m45s,108,4.8,beginner,True,https://doyogawithme.com/content/yoga-self-compassion
Sarah Jane Steele,Prenatal Yoga for Early Pregnancy,31m44s,7,4.6,beginner,True,https://doyogawithme.com/content/prenatal-yoga-early-pregnancy
Fiji McAlpine,Yoga Lunch Break,14m31s,115,4.8,intermediate,True,https://doyogawithme.com/content/yoga-lunch-break
Melissa Krieger,Standing Office Yoga with Half Sun Salutations,10m46s,7,4.7,beginner,True,https://doyogawithme.com/content/standing-office-yoga-half-sun-salutations
Tianne Allan,Mind-Body Restorative Yoga,44m25s,79,4.3,beginner,True,https://doyogawithme.com/content/mind-body-restorative-yoga
Fiji McAlpine,Get Up and Move!,13m03s,171,4.9,beginner,True,https://doyogawithme.com/content/get-and-move
Crista Shillington,Quick Hips!,13m55s,173,4.6,intermediate,True,https://doyogawithme.com/content/quick-hips
Tianne Allan,Yoga for Pain Care,33m14s,33,4.1,beginner,True,https://doyogawithme.com/content/yoga-pain-care
Nicky Jones,Relax Your Whole Self,40m32s,75,4.7,beginner,False,https://doyogawithme.com/content/relax-your-whole-self
David Procyshyn,Yoga Tutorial: Bhastrika Pranayama,7m21s,8,4.9,beginner,False,https://doyogawithme.com/content/yoga-tutorial-bhastrika-pranayama
Tianne Allan,Deep Rest Restorative and Yoga Nidra Meditation,21m56s,61,4.6,beginner,False,https://doyogawithme.com/content/deep-rest-restorative-and-yoga-nidra-meditation
Sarah Holmes de Castro,Reclining Flow for Rest,24m42s,81,4.6,beginner,False,https://doyogawithme.com/content/reclining-flow-rest
Nicky Jones,The Four A's of Healing,12m39s,16,4.9,beginner,True,https://doyogawithme.com/content/four-healing-0
Fiji McAlpine,Yoga for Shoulder Strength and Stability,15m09s,153,4.8,beginner,True,https://doyogawithme.com/content/yoga-shoulder-strength-and-stability
Helen Camisa,"Plus Size Yoga: Shoulders, Arms and Wrists",18m40s,29,5.0,beginner,False,https://doyogawithme.com/content/yoga-plus-size-gentle-seated-practice-0
Fiji McAlpine,Yoga for Headaches and Migraines,15m29s,28,4.9,beginner,True,https://doyogawithme.com/content/yoga-headaches-and-migraines
Rachel Scott,Connection Meditation,7m51s,15,4.8,beginner,True,https://doyogawithme.com/content/connection-meditation
Kathi Ells,"Pilates Level 2, Class 4",43m55s,10,5.0,intermediate,True,https://doyogawithme.com/content/pilates-level-2-class-4
Kathi Ells,"Pilates: Beginner Level 1, Class 2",49m05s,9,4.8,beginner,True,https://doyogawithme.com/content/pilates-beginner-level-1-class-2-0
Satiya Channer,Yoga for 55+: A Beginner Flow,68m39s,17,4.9,beginner,False,https://doyogawithme.com/content/yoga-55-beginner-flow
Satiya Channer,Yoga for 55+: Return to Practice,27m52s,43,4.8,beginner,False,https://doyogawithme.com/content/yoga-55-return-practice
Fiji McAlpine,Tune Into You,50m59s,86,4.9,intermediate,True,https://doyogawithme.com/content/tune-you
Alyssa Jean Klazek,Yoga for Toddlers: Full Sequence,22m20s,4,5.0,beginner,True,https://doyogawithme.com/content/yoga-toddlers-full-sequence
Alyssa Jean Klazek,Yoga for Kids 3 to 8,29m14s,8,5.0,beginner,False,https://doyogawithme.com/content/yoga-kids-3-8
David Procyshyn,"Yoga for Seniors: Improve Strength, Flexibility and Balance II",33m42s,27,4.8,beginner,True,https://doyogawithme.com/content/yoga-seniors-improve-strength-flexibility-and-balance-ii
Rachel Scott,Jumping Forward: A Tutorial,4m37s,26,4.7,beginner,False,https://doyogawithme.com/content/jumping-forward-tutorial
David Procyshyn,Pranayama and Meditation to Heal the Chakras,56m16s,19,4.8,intermediate,False,https://doyogawithme.com/content/pranayama-and-meditation-heal-chakras
David Procyshyn,"Yoga for Lower Back Pain: Strengthen, Stretch and Relax Your Back II",32m07s,77,4.8,beginner,False,https://doyogawithme.com/content/yoga-lower-back-pain-strengthen-stretch-and-relax-your-back-ii
Alyssa Jean Klazek,Yoga for Toddlers: Standing Poses,4m50s,2,5.0,beginner,False,https://doyogawithme.com/content/yoga-toddlers-standing-poses
Alyssa Jean Klazek,Yoga for Toddlers: Relaxation,4m59s,1,5.0,beginner,False,https://doyogawithme.com/content/yoga-toddlers-relaxation
Alyssa Jean Klazek,Yoga for Toddlers: Seated Poses,3m24s,1,5.0,beginner,False,https://doyogawithme.com/content/yoga-toddlers-seated-poses
Alyssa Jean Klazek,Yoga for Toddlers: Balance,4m23s,2,5.0,beginner,True,https://doyogawithme.com/content/yoga-toddlers-balance
Alyssa Jean Klazek,Yoga for Toddlers: Breathing,7m34s,0,0,beginner,True,https://doyogawithme.com/content/yoga-toddlers-breathing
Fiji McAlpine,Fire and Focus,61m20s,38,4.9,advanced,True,https://doyogawithme.com/content/fire-and-focus
David Procyshyn,"Yoga for Seniors: Improve Strength, Flexibility and Balance I",27m58s,28,4.7,beginner,True,https://doyogawithme.com/content/yoga-seniors-improve-strength-flexibility-and-balance-i
David Procyshyn,"Yoga for Lower Back Pain: Strengthen, Stretch and Relax Your Back I",29m10s,121,4.8,beginner,False,https://doyogawithme.com/content/yoga-lower-back-pain-strengthen-stretch-and-relax-your-back-i
Rachel Scott,Yin Yoga to Nourish Your Hips,60m48s,47,4.9,beginner,True,https://doyogawithme.com/content/yin-yoga-nourish-your-hips
Fiji McAlpine,Self-Esteem and Empowerment,37m51s,168,4.8,intermediate,False,https://doyogawithme.com/content/self-esteem-and-empowerment
Rachel Scott,Creating Internal Lightness,58m49s,181,4.7,intermediate,True,https://doyogawithme.com/content/creating-internal-lightness
Fiji McAlpine,The Space Within Us,38m57s,89,4.6,intermediate,False,https://doyogawithme.com/content/space-within-us
Tracey Noseworthy,Chatting Chaturanga: A Tutorial,16m54s,40,4.8,intermediate,False,https://doyogawithme.com/content/chatting-chaturanga-tutorial
Fiji McAlpine,Finding Your Ground,38m42s,65,4.8,advanced,False,https://doyogawithme.com/content/finding-your-ground
Crista Shillington,Superfly Dragonfly,64m16s,20,5.0,advanced,True,https://doyogawithme.com/content/superfly-dragonfly
Tracey Noseworthy,Hidden Lotus,58m18s,52,4.9,advanced,False,https://doyogawithme.com/content/hidden-lotus
Jeff Lichty,Ashtanga Yoga Therapeutic Sequence,20m02s,76,4.8,beginner,False,https://doyogawithme.com/content/ashtanga-yoga-therapeutic-sequence
Crista Shillington,Vishvamichrasana Holydeepasana,67m31s,31,4.9,advanced,False,https://doyogawithme.com/content/vishvamichrasana-holydeepasana
Melissa Krieger,A Full Body Slow Flow,66m21s,52,4.8,beginner,False,https://doyogawithme.com/content/full-body-slow-flow
